AGNO;RBD;DGV_RBD;NOM_RBD;COD_DEPE;COD_DEPE2;RURAL_RBD;COD_REG_RBD;NOM_REG_RBD_A;COD_PRO_RBD;COD_COM_RBD;NOM_COM_RBD;COD_DEPROV_RBD;NOM_DEPROV_RBD;ESTADO_ESTAB;MAT_SI_1;MAT_HOM_1;MAT_MUJ_1;MAT_ENS_1;MAT_SI_2;MAT_HOM_2;MAT_MUJ_2;MAT_ENS_2;MAT_HOM_3;MAT_MUJ_3;MAT_ENS_3;MAT_SI_4;MAT_HOM_4;MAT_MUJ_4;MAT_ENS_4;MAT_SI_5;MAT_HOM_5;MAT_MUJ_5;MAT_NB_5;MAT_ENS_5;MAT_SI_6;MAT_HOM_6;MAT_MUJ_6;MAT_ENS_6;MAT_HOM_7;MAT_MUJ_7;MAT_ENS_7;MAT_HOM_8;MAT_MUJ_8;MAT_ENS_8;MAT_HOM_TOT;MAT_MUJ_TOT;MAT_SI_TOT;MAT_NB_TOT;MAT_TOTAL;MAT_CHI;MAT_EXT;MAT_NAC;MAT_NO_ETNIA;MAT_ETNIA;MAT_SI_INT;MAT_HOM_INT;MAT_MUJ_INT;MAT_NB_INT;MAT_INT_TOTAL;CUR_SIM_01;CUR_SIM_02;CUR_SIM_03;CUR_SIM_04;CUR_SIM_05;CUR_SIM_06;CUR_SIM_07;CUR_SIM_08;CUR_SIM_TOT;CUR_COMB_01;CUR_COMB_02;CUR_COMB_TOT;SLEP;NOMBRE_SLEP
2024;1007;3;ESCUELA PARTICULAR CANAS DE MICHIO                                                                                                                                                                                                                             ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
2024;1008;1;ESCUELA PARTICULAR QUILLAICILLO                                                                                                                                                                                                                                ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;1010;3;ESCUELA PARTICULAR CUYUNTAGUA                                                                                                                                                                                                                                  ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0;4;4;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;1011;1;ESCUELA PARTICULAR MACUCO                                                                                                                                                                                                                                      ;3;2;1;4;COQ  ;42;4201;ILLAPEL             ;43;CHOAPA                 ;1;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;;
2024;1013;8;LICEO DE SALAMANCA                                                                                                                                                                                                                                             ;2;1;0;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;0;0;0;0;27;19;46;0;0;0;0;0;0;0;0;150;130;0;280;0;0;0;0;59;64;123;0;0;0;236;213;0;0;449;428;21;0;432;17;0;43;42;0;85;0;2;0;0;8;0;4;0;14;0;0;0;;
2024;1014;6;ESCUELA MATILDE SALAMANCA                                                                                                                                                                                                                                      ;2;1;0;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;25;12;37;0;138;108;246;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;163;120;0;0;283;246;37;0;279;4;0;44;31;0;75;2;10;0;0;0;0;0;0;12;0;0;0;;
2024;1015;4;ESCUELA BASICA DIAGUITAS DE CHALINGA                                                                                                                                                                                                                           ;2;1;0;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;17;16;33;0;110;112;222;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127;128;0;0;255;249;6;0;252;3;0;34;27;0;61;2;8;0;0;0;0;0;0;10;0;0;0;;
2024;1016;2;ESCUELA TRANQUILLA                                                                                                                                                                                                                                             ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;11;9;20;0;47;35;82;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;44;0;0;102;102;0;0;100;2;0;20;17;0;37;0;4;0;0;0;0;0;0;4;1;1;2;;
2024;1017;0;ESCUELA BASICA BERTA HIDALGO BARAHONA                                                                                                                                                                                                                          ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;5;5;10;0;25;24;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;29;0;0;59;59;0;0;56;3;0;21;14;0;35;0;2;0;0;0;0;0;0;2;1;3;4;;
2024;1018;9;ESCUELA EL TAMBO                                                                                                                                                                                                                                               ;2;1;1;4;COQ  ;42;4204;SALAMANCA           ;43;CHOAPA                 ;1;0;7;7;14;0;33;26;59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;33;0;0;73;72;1;0;69;4;0;11;14;0;25;0;0;0;0;0;0;0;0;0;1;3;4;;
